"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-negative-fixed-small-world"
"06/22/2026 04:12:22:947 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"22","260","0.2","50","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"20","260","0.5","40","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"17","260","0.2","40","0.1","neg","166","54.299065420560744","45.70093457943925","54.19103313840156","54.39856373429084"
"18","260","0.3","40","0.1","neg","69","56.26168224299065","43.73831775700935","55.55555555555556","56.91202872531418"
"21","260","0.1","50","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"20","260","0.5","40","0.1","neg","69","53.17757009345795","46.822429906542055","52.826510721247566","53.50089766606823"
"19","260","0.4","40","0.1","neg","166","52.429906542056074","47.570093457943926","52.241715399610136","52.6032315978456"
"14","260","0.4","30","0.1","neg","166","52.61682242990654","47.38317757009346","49.707602339181285","55.296229802513466"
"17","260","0.2","40","0.1","neg","259","52.429906542056074","47.570093457943926","51.656920077972714","53.14183123877917"
"16","260","0.1","40","0.1","neg","166","55.42056074766355","44.57943925233645","55.7504873294347","55.11669658886894"
"14","260","0.4","30","0.1","neg","259","51.6822429906542","48.3177570093458","49.122807017543856","54.039497307001795"
"15","260","0.5","30","0.1","neg","259","52.336448598130836","47.66355140186916","51.07212475633528","53.50089766606823"
"20","260","0.5","40","0.1","neg","166","52.71028037383177","47.28971962616823","52.241715399610136","53.14183123877917"
"19","260","0.4","40","0.1","neg","259","51.86915887850467","48.13084112149533","51.656920077972714","52.06463195691203"
"23","260","0.3","50","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"21","260","0.1","50","0.1","neg","69","58.3177570093458","41.6822429906542","56.92007797270955","59.60502692998204"
"24","260","0.4","50","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"22","260","0.2","50","0.1","neg","69","56.728971962616825","43.27102803738318","56.14035087719298","57.27109515260324"
"16","260","0.1","40","0.1","neg","259","54.39252336448598","45.60747663551402","56.14035087719298","52.782764811490125"
"18","260","0.3","40","0.1","neg","166","53.17757009345795","46.822429906542055","54.385964912280706","52.06463195691203"
"20","260","0.5","40","0.1","neg","259","51.308411214953274","48.69158878504673","51.267056530214425","51.34649910233393"
"23","260","0.3","50","0.1","neg","69","55.887850467289724","44.11214953271028","55.165692007797276","56.552962298025136"
"24","260","0.4","50","0.1","neg","69","55.32710280373831","44.67289719626169","54.97076023391813","55.65529622980251"
"21","260","0.1","50","0.1","neg","166","55.794392523364486","44.205607476635514","54.97076023391813","56.552962298025136"
"25","260","0.5","50","0.1","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"22","260","0.2","50","0.1","neg","166","54.67289719626168","45.32710280373832","54.58089668615984","54.7576301615799"
"23","260","0.3","50","0.1","neg","166","53.17757009345795","46.822429906542055","52.826510721247566","53.50089766606823"
"18","260","0.3","40","0.1","neg","259","52.61682242990654","47.38317757009346","53.41130604288499","51.8850987432675"
"21","260","0.1","50","0.1","neg","259","54.01869158878505","45.981308411214954","53.606237816764136","54.39856373429084"
"28","260","0.3","10","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"26","260","0.1","10","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"23","260","0.3","50","0.1","neg","259","51.214953271028044","48.78504672897196","51.267056530214425","51.16696588868941"
"28","260","0.3","10","0.2","neg","69","58.87850467289719","41.1214953271028","57.69980506822612","59.964093357271096"
"27","260","0.2","10","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"26","260","0.1","10","0.2","neg","69","59.90654205607476","40.09345794392523","59.06432748538012","60.68222621184919"
"29","260","0.4","10","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"31","260","0.1","20","0.2","neg","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"22","260","0.2","50","0.1","neg","259","53.73831775700935","46.26168224299065","52.63157894736842","54.7576301615799"
"24","260","0.4","50","0.1","neg","166","51.86915887850467","48.13084112149533","51.656920077972714","52.06463195691203"
