"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"main-pattern-positive-fixed-small-world"
"06/22/2026 04:22:26:997 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","percentage-A","percentage-B","male-percentage-A","female-percentage-A"
"15","260","0.5","30","0","pos","259","86.07476635514018","13.925233644859814","85.18518518518519","86.89407540394973"
"23","260","0.3","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"19","260","0.4","40","0","pos","166","78.31775700934578","21.682242990654206","78.3625730994152","78.27648114901257"
"20","260","0.5","40","0","pos","69","65.32710280373831","34.67289719626168","67.2514619883041","63.55475763016158"
"24","260","0.4","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"22","260","0.2","50","0","pos","69","66.72897196261682","33.271028037383175","66.66666666666666","66.78635547576302"
"25","260","0.5","50","0","pos","166","84.57943925233646","15.42056074766355","85.7699805068226","83.48294434470377"
"21","260","0.1","50","0","pos","69","63.36448598130842","36.63551401869159","64.32748538011695","62.47755834829444"
"18","260","0.3","40","0","pos","166","76.72897196261682","23.271028037383175","77.38791423001949","76.12208258527828"
"19","260","0.4","40","0","pos","259","85.14018691588785","14.859813084112151","85.38011695906432","84.91921005385996"
"27","260","0.2","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"22","260","0.2","50","0","pos","166","74.29906542056075","25.70093457943925","74.85380116959064","73.78815080789947"
"21","260","0.1","50","0","pos","166","67.85046728971963","32.149532710280376","68.81091617933723","66.96588868940754"
"26","260","0.1","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"20","260","0.5","40","0","pos","166","75.32710280373833","24.67289719626168","75.6335282651072","75.04488330341114"
"27","260","0.2","10","0","pos","69","61.86915887850467","38.13084112149533","61.59844054580896","62.11849192100538"
"23","260","0.3","50","0","pos","69","71.77570093457943","28.22429906542056","69.5906432748538","73.78815080789947"
"24","260","0.4","50","0","pos","69","72.24299065420561","27.757009345794394","72.12475633528264","72.35188509874327"
"25","260","0.5","50","0","pos","259","89.34579439252337","10.654205607476635","90.83820662768031","87.97127468581688"
"26","260","0.1","10","0","pos","69","61.21495327102804","38.78504672897196","59.4541910331384","62.83662477558348"
"22","260","0.2","50","0","pos","259","80.65420560747664","19.345794392523363","81.48148148148148","79.89228007181327"
"18","260","0.3","40","0","pos","259","83.73831775700936","16.261682242990656","85.38011695906432","82.2262118491921"
"29","260","0.4","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"28","260","0.3","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"20","260","0.5","40","0","pos","259","82.99065420560747","17.009345794392523","83.62573099415205","82.40574506283662"
"21","260","0.1","50","0","pos","259","72.24299065420561","27.757009345794394","73.48927875243665","71.0951526032316"
"29","260","0.4","10","0","pos","69","60.65420560747663","39.345794392523366","59.4541910331384","61.759425493716336"
"23","260","0.3","50","0","pos","166","81.6822429906542","18.317757009345794","79.72709551656921","83.48294434470377"
"27","260","0.2","10","0","pos","166","63.64485981308411","36.35514018691588","62.57309941520468","64.63195691202873"
"24","260","0.4","50","0","pos","166","80.65420560747664","19.345794392523363","80.31189083820662","80.96947935368043"
"26","260","0.1","10","0","pos","166","62.71028037383177","37.28971962616822","61.01364522417154","64.27289048473968"
"30","260","0.5","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"29","260","0.4","10","0","pos","166","64.29906542056075","35.700934579439256","63.547758284600384","64.99102333931778"
"28","260","0.3","10","0","pos","69","61.96261682242991","38.03738317757009","61.01364522417154","62.83662477558348"
"26","260","0.1","10","0","pos","259","64.29906542056075","35.700934579439256","61.40350877192983","66.96588868940754"
"23","260","0.3","50","0","pos","259","85.51401869158879","14.485981308411214","83.62573099415205","87.25314183123878"
"27","260","0.2","10","0","pos","259","65.88785046728972","34.112149532710276","65.69200779727096","66.06822262118493"
"30","260","0.5","10","0","pos","69","61.21495327102804","38.78504672897196","60.23391812865497","62.11849192100538"
"31","260","0.1","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"24","260","0.4","50","0","pos","259","86.16822429906541","13.831775700934578","85.38011695906432","86.89407540394973"
"31","260","0.1","20","0","pos","69","60.93457943925233","39.06542056074767","60.42884990253411","61.40035906642729"
"29","260","0.4","10","0","pos","259","68.22429906542055","31.775700934579437","68.61598440545808","67.86355475763017"
"32","260","0.2","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"28","260","0.3","10","0","pos","166","63.73831775700934","36.26168224299066","65.10721247563353","62.47755834829444"
"31","260","0.1","20","0","pos","166","61.86915887850467","38.13084112149533","61.59844054580896","62.11849192100538"
"35","260","0.5","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"30","260","0.5","10","0","pos","166","65.23364485981308","34.76635514018692","64.91228070175438","65.52962298025135"
"31","260","0.1","20","0","pos","259","63.084112149532714","36.915887850467286","62.96296296296296","63.19569120287253"
"33","260","0.3","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"34","260","0.4","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"32","260","0.2","20","0","pos","69","61.21495327102804","38.78504672897196","60.62378167641326","61.759425493716336"
"35","260","0.5","20","0","pos","69","63.64485981308411","36.35514018691588","62.768031189083814","64.4524236983842"
"30","260","0.5","10","0","pos","259","67.7570093457944","32.242990654205606","68.2261208576998","67.3249551166966"
"36","260","0.1","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"34","260","0.4","20","0","pos","69","62.33644859813084","37.663551401869164","61.98830409356725","62.65709156193896"
"36","260","0.1","30","0","pos","69","62.80373831775701","37.19626168224299","62.37816764132553","63.19569120287253"
"37","260","0.2","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"33","260","0.3","20","0","pos","69","62.523364485981304","37.47663551401869","62.768031189083814","62.29802513464991"
"38","260","0.3","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"39","260","0.4","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"40","260","0.5","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"35","260","0.5","20","0","pos","166","71.49532710280374","28.504672897196258","73.09941520467837","70.01795332136446"
"37","260","0.2","30","0","pos","69","61.308411214953274","38.691588785046726","59.06432748538012","63.37522441651705"
"36","260","0.1","30","0","pos","166","67.38317757009345","32.61682242990654","66.66666666666666","68.04308797127469"
"28","260","0.3","10","0","pos","259","66.07476635514018","33.925233644859816","66.27680311890838","65.8886894075404"
"39","260","0.4","30","0","pos","69","66.16822429906543","33.83177570093458","64.91228070175438","67.3249551166966"
"32","260","0.2","20","0","pos","166","65.32710280373831","34.67289719626168","64.32748538011695","66.24775583482945"
"34","260","0.4","20","0","pos","166","66.54205607476635","33.45794392523365","65.10721247563353","67.86355475763017"
"36","260","0.1","30","0","pos","259","70.37383177570094","29.626168224299064","69.5906432748538","71.0951526032316"
"40","260","0.5","30","0","pos","69","65.14018691588785","34.859813084112155","65.69200779727096","64.63195691202873"
"38","260","0.3","30","0","pos","69","63.45794392523364","36.54205607476636","64.71734892787524","62.29802513464991"
"37","260","0.2","30","0","pos","166","67.4766355140187","32.52336448598131","65.8869395711501","68.9407540394973"
"39","260","0.4","30","0","pos","166","73.83177570093457","26.168224299065418","73.2943469785575","74.32675044883304"
"33","260","0.3","20","0","pos","166","66.72897196261682","33.271028037383175","66.66666666666666","66.78635547576302"
"35","260","0.5","20","0","pos","259","77.38317757009345","22.61682242990654","79.92202729044834","75.04488330341114"
"41","260","0.1","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"34","260","0.4","20","0","pos","259","70.56074766355141","29.439252336448597","68.61598440545808","72.35188509874327"
"32","260","0.2","20","0","pos","259","68.69158878504673","31.308411214953267","67.83625730994152","69.47935368043088"
"40","260","0.5","30","0","pos","166","74.11214953271028","25.88785046728972","73.48927875243665","74.68581687612208"
"39","260","0.4","30","0","pos","259","78.31775700934578","21.682242990654206","77.97270955165692","78.63554757630162"
"41","260","0.1","40","0","pos","69","62.80373831775701","37.19626168224299","61.79337231968811","63.73429084380611"
"37","260","0.2","30","0","pos","259","71.1214953271028","28.878504672897197","68.81091617933723","73.24955116696589"
"42","260","0.2","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"33","260","0.3","20","0","pos","259","68.87850467289721","31.121495327102807","69.00584795321637","68.76122082585279"
"38","260","0.3","30","0","pos","166","68.3177570093458","31.68224299065421","70.76023391812866","66.06822262118493"
"41","260","0.1","40","0","pos","166","67.28971962616822","32.71028037383177","67.44639376218323","67.14542190305207"
"40","260","0.5","30","0","pos","259","81.12149532710279","18.878504672897193","80.11695906432749","82.04667863554758"
"43","260","0.3","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"44","260","0.4","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"42","260","0.2","40","0","pos","69","64.67289719626169","35.32710280373832","63.35282651072125","65.8886894075404"
"44","260","0.4","40","0","pos","69","70.2803738317757","29.719626168224302","72.12475633528264","68.58168761220826"
"41","260","0.1","40","0","pos","259","72.33644859813084","27.663551401869157","73.09941520467837","71.63375224416517"
"42","260","0.2","40","0","pos","166","72.05607476635514","27.943925233644862","69.20077972709552","74.68581687612208"
"48","260","0.3","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"43","260","0.3","40","0","pos","69","67.19626168224299","32.80373831775701","65.69200779727096","68.58168761220826"
"38","260","0.3","30","0","pos","259","73.08411214953271","26.91588785046729","74.85380116959064","71.45421903052065"
"45","260","0.5","40","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"48","260","0.3","50","0","pos","69","69.4392523364486","30.560747663551403","68.61598440545808","70.19748653500898"
"44","260","0.4","40","0","pos","166","81.6822429906542","18.317757009345794","81.48148148148148","81.86714542190305"
"46","260","0.1","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"45","260","0.5","40","0","pos","69","70.37383177570094","29.626168224299064","69.78557504873294","70.91561938958706"
"49","260","0.4","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"42","260","0.2","40","0","pos","259","75.23364485981308","24.766355140186917","72.31968810916179","77.91741472172352"
"46","260","0.1","50","0","pos","69","62.42990654205608","37.570093457943926","61.98830409356725","62.83662477558348"
"47","260","0.2","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"50","260","0.5","50","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"48","260","0.3","50","0","pos","166","75.04672897196262","24.95327102803738","73.2943469785575","76.66068222621185"
"49","260","0.4","50","0","pos","69","72.33644859813084","27.663551401869157","71.73489278752436","72.89048473967684"
"45","260","0.5","40","0","pos","166","76.54205607476635","23.457943925233646","75.82846003898635","77.19928186714542"
"50","260","0.5","50","0","pos","69","72.52336448598132","27.476635514018692","70.76023391812866","74.1472172351885"
"44","260","0.4","40","0","pos","259","85.70093457943925","14.299065420560748","84.21052631578947","87.07360861759426"
"48","260","0.3","50","0","pos","259","79.81308411214954","20.186915887850468","78.75243664717348","80.78994614003591"
"49","260","0.4","50","0","pos","166","80.74766355140187","19.252336448598133","79.92202729044834","81.50807899461401"
"45","260","0.5","40","0","pos","259","82.42990654205607","17.570093457943926","81.67641325536063","83.12387791741472"
"47","260","0.2","50","0","pos","69","63.83177570093458","36.16822429906542","62.96296296296296","64.63195691202873"
"46","260","0.1","50","0","pos","166","69.1588785046729","30.8411214953271","69.39571150097466","68.9407540394973"
"50","260","0.5","50","0","pos","166","84.95327102803738","15.046728971962617","83.62573099415205","86.17594254937163"
"43","260","0.3","40","0","pos","166","76.44859813084112","23.551401869158877","76.0233918128655","76.84021543985638"
"49","260","0.4","50","0","pos","259","89.25233644859813","10.74766355140187","87.32943469785575","91.02333931777379"
"51","260","0.1","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"47","260","0.2","50","0","pos","166","73.27102803738318","26.72897196261682","73.48927875243665","73.07001795332137"
"50","260","0.5","50","0","pos","259","90.5607476635514","9.439252336448597","90.64327485380117","90.48473967684022"
"52","260","0.2","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"53","260","0.3","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"46","260","0.1","50","0","pos","259","73.73831775700934","26.261682242990652","71.73489278752436","75.58348294434471"
"43","260","0.3","40","0","pos","259","82.42990654205607","17.570093457943926","81.48148148148148","83.30341113105925"
"51","260","0.1","10","0","pos","69","61.02803738317757","38.97196261682243","59.64912280701754","62.29802513464991"
"47","260","0.2","50","0","pos","259","77.75700934579439","22.242990654205606","77.77777777777779","77.737881508079"
"56","260","0.1","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"57","260","0.2","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"52","260","0.2","10","0","pos","69","60.373831775700936","39.626168224299064","57.89473684210527","62.65709156193896"
"54","260","0.4","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"51","260","0.1","10","0","pos","166","62.149532710280376","37.850467289719624","60.23391812865497","63.91382405745063"
"55","260","0.5","10","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"57","260","0.2","20","0","pos","69","60.373831775700936","39.626168224299064","59.25925925925925","61.40035906642729"
"55","260","0.5","10","0","pos","69","59.7196261682243","40.2803738317757","61.01364522417154","58.52782764811491"
"58","260","0.3","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"57","260","0.2","20","0","pos","166","63.45794392523364","36.54205607476636","62.96296296296296","63.91382405745063"
"55","260","0.5","10","0","pos","166","64.01869158878505","35.981308411214954","63.93762183235867","64.09335727109516"
"53","260","0.3","10","0","pos","69","61.86915887850467","38.13084112149533","62.768031189083814","61.04129263913825"
"54","260","0.4","10","0","pos","69","62.24299065420561","37.75700934579439","60.81871345029239","63.55475763016158"
"51","260","0.1","10","0","pos","259","63.084112149532714","36.915887850467286","60.62378167641326","65.35008976660683"
"58","260","0.3","20","0","pos","69","64.76635514018692","35.23364485981308","62.96296296296296","66.42728904847397"
"56","260","0.1","20","0","pos","69","60.46728971962617","39.532710280373834","58.86939571150097","61.93895870736086"
"52","260","0.2","10","0","pos","166","60.18691588785047","39.81308411214953","58.86939571150097","61.40035906642729"
"55","260","0.5","10","0","pos","259","63.73831775700934","36.26168224299066","62.96296296296296","64.4524236983842"
"57","260","0.2","20","0","pos","259","66.16822429906543","33.83177570093458","64.91228070175438","67.3249551166966"
"59","260","0.4","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"54","260","0.4","10","0","pos","166","66.07476635514018","33.925233644859816","64.91228070175438","67.14542190305207"
"58","260","0.3","20","0","pos","166","70.2803738317757","29.719626168224302","69.20077972709552","71.27468581687613"
"62","260","0.2","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"59","260","0.4","20","0","pos","69","65.42056074766354","34.57943925233645","64.13255360623782","66.6068222621185"
"56","260","0.1","20","0","pos","166","62.616822429906534","37.38317757009346","62.57309941520468","62.65709156193896"
"60","260","0.5","20","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"52","260","0.2","10","0","pos","259","61.588785046728965","38.41121495327103","59.64912280701754","63.37522441651705"
"53","260","0.3","10","0","pos","166","64.39252336448598","35.60747663551402","64.91228070175438","63.91382405745063"
"61","260","0.1","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"54","260","0.4","10","0","pos","259","69.81308411214954","30.186915887850468","68.2261208576998","71.27468581687613"
"58","260","0.3","20","0","pos","259","73.83177570093457","26.168224299065418","74.46393762183236","73.24955116696589"
"62","260","0.2","30","0","pos","69","64.85981308411215","35.14018691588785","63.547758284600384","66.06822262118493"
"60","260","0.5","20","0","pos","69","67.7570093457944","32.242990654205606","67.83625730994152","67.68402154398564"
"56","260","0.1","20","0","pos","259","64.11214953271028","35.88785046728972","64.32748538011695","63.91382405745063"
"61","260","0.1","30","0","pos","69","61.6822429906542","38.31775700934579","60.62378167641326","62.65709156193896"
"53","260","0.3","10","0","pos","259","66.07476635514018","33.925233644859816","67.05653021442495","65.1705565529623"
"59","260","0.4","20","0","pos","166","70.37383177570094","29.626168224299064","70.76023391812866","70.01795332136446"
"64","260","0.4","30","0","pos","0","60.5607476635514","39.4392523364486","59.06432748538012","61.93895870736086"
"64","260","0.4","30","0","pos","69","66.54205607476635","33.45794392523365","65.30214424951268","67.68402154398564"
