"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_redes_preferenciales.nlogox"
"positive-convergence-time"
"06/09/2026 15:51:18:978 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","total-ticks","learning-rate","pairs-per-tick","confidence-threshold","influence-type","[step]","ticks","mean-opinion","sd-opinion"
"73","100000","0.1","30","0","pos","99999","100000","0.10136238885970869","0.047932021905096704"
"72","100000","0.1","30","0","pos","99999","100000","0.10749944500602325","0.0339584618086632"
"78","100000","0.1","30","0","pos","99999","100000","0.09946611220454694","0.0402102276581571"
"80","100000","0.1","30","0","pos","99999","100000","0.11765696882594139","0.05646996765503377"
"81","100000","0.1","30","0","pos","99999","100000","0.08860668393793927","0.04053446856286456"
"82","100000","0.1","30","0","pos","99999","100000","0.1032982310577919","0.035418652614457084"
"83","100000","0.1","30","0","pos","99999","100000","0.09633814760617385","0.04762167490155316"
"79","100000","0.1","30","0","pos","99999","100000","0.12119127777977579","0.028883040048971364"
"84","100000","0.1","30","0","pos","99999","100000","0.0949518029624645","0.04838649818351522"
"85","100000","0.1","30","0","pos","99999","100000","0.10309070823563285","0.06196217308021492"
"86","100000","0.1","30","0","pos","99999","100000","0.09688267566985237","0.03773825570541223"
"87","100000","0.1","30","0","pos","99999","100000","0.11299031453813939","0.04829467718817302"
"88","100000","0.1","30","0","pos","99999","100000","0.10708522932519313","0.06855985679780141"
"90","100000","0.1","30","0","pos","99999","100000","0.09435023012350223","0.04241889861253129"
"89","100000","0.1","30","0","pos","99999","100000","0.1069876029901187","0.030392206961332484"
"91","100000","0.1","40","0","pos","99999","100000","0.103988873901993","0.025237886029011097"
"93","100000","0.1","40","0","pos","99999","100000","0.13508921566987253","0.021677084301967367"
"92","100000","0.1","40","0","pos","99999","100000","0.10294531859307615","0.04072365514012766"
"94","100000","0.1","40","0","pos","99999","100000","0.11565765834578103","0.04022656270588563"
"95","100000","0.1","40","0","pos","99999","100000","0.09567417694551567","0.03859182444111281"
"96","100000","0.1","40","0","pos","99999","100000","0.1048386899223088","0.03568311474738292"
"97","100000","0.1","40","0","pos","99999","100000","0.09960996839341851","0.04102522875346553"
"99","100000","0.1","40","0","pos","99999","100000","0.1267032540549743","0.03878911534697206"
"98","100000","0.1","40","0","pos","99999","100000","0.10249715576409502","0.025499015762943174"
"100","100000","0.1","40","0","pos","99999","100000","0.10325614534602623","0.026331302679536858"
"101","100000","0.1","40","0","pos","99999","100000","0.10917819448514962","0.025891230428322677"
"102","100000","0.1","40","0","pos","99999","100000","0.09174942578692911","0.034828791775939665"
"105","100000","0.1","40","0","pos","99999","100000","0.09903801097372858","0.03972061868130402"
"103","100000","0.1","40","0","pos","99999","100000","0.11939598607037491","0.02960919017064789"
"104","100000","0.1","40","0","pos","99999","100000","0.11122747157691465","0.03993455922328104"
"106","100000","0.1","40","0","pos","99999","100000","0.11228135761915117","0.03440614734882533"
"107","100000","0.1","40","0","pos","99999","100000","0.10978448957392507","0.02978280419668603"
"108","100000","0.1","40","0","pos","99999","100000","0.12244003256476758","0.05420598414092762"
"109","100000","0.1","40","0","pos","99999","100000","0.10002948212096507","0.035949994283614485"
"110","100000","0.1","40","0","pos","99999","100000","0.11026206307880952","0.03576785193302704"
"112","100000","0.1","40","0","pos","99999","100000","0.10829743358956088","0.027951838672413912"
"111","100000","0.1","40","0","pos","99999","100000","0.10023449333473672","0.03403818396079059"
"113","100000","0.1","40","0","pos","99999","100000","0.1133257996261116","0.031189803704172167"
"114","100000","0.1","40","0","pos","99999","100000","0.12038756381494324","0.03571323874458836"
"115","100000","0.1","40","0","pos","99999","100000","0.09918130831033449","0.029648920683316683"
"116","100000","0.1","40","0","pos","99999","100000","0.0987102078772424","0.04186150716798771"
"117","100000","0.1","40","0","pos","99999","100000","0.10659098346424921","0.060964344455057044"
"118","100000","0.1","40","0","pos","99999","100000","0.09392228425845625","0.0448229857337877"
"119","100000","0.1","40","0","pos","99999","100000","0.1073102672966309","0.028791589157962552"
"120","100000","0.1","40","0","pos","99999","100000","0.10341034671441617","0.03670157678824923"
"121","100000","0.1","50","0","pos","99999","100000","0.10965979076693105","0.031972321561597496"
"122","100000","0.1","50","0","pos","99999","100000","0.11306824444976858","0.04983435910771205"
"123","100000","0.1","50","0","pos","99999","100000","0.11515668854525606","0.023462964923568305"
"124","100000","0.1","50","0","pos","99999","100000","0.11398105975820694","0.03319052024318763"
"125","100000","0.1","50","0","pos","99999","100000","0.10704863147226645","0.036083533514745254"
"126","100000","0.1","50","0","pos","99999","100000","0.0976428253742916","0.02405672941122708"
"127","100000","0.1","50","0","pos","99999","100000","0.08859454660693301","0.013455226280813718"
"128","100000","0.1","50","0","pos","99999","100000","0.10077691713098019","0.024174754159180835"
"129","100000","0.1","50","0","pos","99999","100000","0.10198034866461442","0.017669019500653135"
"130","100000","0.1","50","0","pos","99999","100000","0.09923853786477085","0.02801049780622303"
